Estado,Ano,Mês,Precipitação Total (mm),Pressão atmosférica média (mB),Radiação global média (Kj/m²),Temperatura média do ar (°C),Temperatura máxima (°C),Temperatura mínima (°C),Umidade relativa média (%),Velocidade média do vento (m/s)
GO,2003,3,425.6,930.6206720233747,1380.3838926174496,23.298392987582176,33.3,16.8,78.42147552958363,1.2219868517165815
GO,2003,4,226.6,931.7793604651162,1453.952857142857,23.199563953488372,33.0,14.1,75.4265988372093,1.3143168604651163
GO,2003,5,14.200000000000001,932.7583202511775,1417.7225705329154,20.11349019607843,32.7,7.1,69.38745098039216,1.4928627450980392
GO,2003,6,1.6,933.4238700564971,1418.5280898876404,20.193154551870148,32.1,8.3,61.87085391672548,1.2315455187014819
GO,2003,7,0.0,934.9974167233174,1449.3342428376534,19.965217391304346,32.6,7.5,54.817934782608695,1.7419836956521737
GO,2003,8,12.6,933.7063920454547,1529.717270194986,21.727974504249293,33.9,5.7,52.20184135977337,1.794830028328612
GO,2003,9,52.6,932.755052631579,1494.9309701492537,24.68664563617245,38.5,13.0,52.39116719242902,2.032807570977918
GO,2003,10,61.4,931.1857777777777,1434.7537313432836,24.77577777777778,36.8,15.1,60.56666666666667,1.4247216035634744
GO,2003,11,125.2,930.5133671742809,1358.536231884058,24.200000000000003,34.3,18.3,73.4906937394247,1.3257191201353637
GO,2003,12,202.0,930.6636746143057,1531.5458823529411,25.048106591865356,35.7,17.8,70.76157082748948,1.250210378681627
GO,2004,1,347.2,928.921293800539,1166.2367149758454,23.671293800539082,32.1,19.0,81.45687331536388,1.1059299191374663
GO,2004,2,298.2,931.1743703703703,1309.8111111111111,23.066074074074074,32.2,16.8,82.18814814814814,1.007111111111111
GO,2004,3,256.6,931.0844875346261,1533.3702770780856,23.464226519337014,33.1,16.0,77.45027624309392,1.1374309392265194
GO,2004,4,96.2,932.153023909986,1366.8659517426274,23.103511235955057,32.9,15.2,76.80337078651685,1.1110955056179777
GO,2004,5,16.6,933.6331491712707,1232.7490774907749,21.93547794117647,32.5,14.1,75.43382352941177,1.3595588235294118
GO,2004,6,0.8,936.4284660766962,1363.615835777126,19.64749262536873,30.7,8.2,66.00147492625369,1.3348082595870205
GO,2004,7,2.8,935.1152909336942,1415.6577540106953,19.949527665317138,30.9,6.7,60.24156545209177,1.7975708502024292
GO,2004,8,0.0,935.2478911564625,1683.5,22.131207598371777,35.4,9.9,45.06377204884667,1.8442333785617369
GO,2004,9,8.2,932.5525069637882,1812.029490616622,26.193454038997217,37.0,11.3,34.76846590909091,1.957660167130919
GO,2004,10,122.0,930.9166435506241,1474.882063882064,25.40776699029126,37.1,15.4,60.98613037447989,1.5883495145631068
GO,2004,11,81.0,930.5068796068796,1413.8978723404255,24.390196078431373,33.6,19.0,72.0906862745098,1.3799019607843137
GO,2004,12,240.6,930.5557939914163,1328.4243902439025,23.579971387696713,33.8,18.6,78.10586552217454,1.072818311874106
GO,2005,1,192.0,929.7228043143297,1352.2956989247311,24.04375963020031,33.4,19.2,79.43143297380585,0.9907550077041603
GO,2005,2,37.6,930.4941666666667,1468.953125,23.521666666666665,32.5,18.7,79.40833333333333,1.0158333333333334
GO,2005,3,471.4,931.5674137931034,1362.312865497076,24.05352839931153,32.7,18.2,79.41996557659208,0.9335628227194492
GO,2005,4,55.8,932.6780320366132,1425.7877551020408,24.325400457665907,32.6,17.1,73.09382151029749,1.1219679633867277
GO,2005,5,27.0,933.5243902439024,1475.891304347826,21.588211382113823,31.3,12.3,69.08265582655827,1.376829268292683
GO,2005,6,4.0,934.6686549707601,1337.814385150812,20.6303738317757,37.9,8.8,66.05023364485982,1.456374269005848
GO,2005,7,0.0,935.2036339165546,1406.2892156862745,20.33728129205922,32.2,6.9,58.815612382234185,1.7946164199192465
GO,2005,8,15.8,933.4382392473119,1578.7754010695187,22.57157258064516,35.9,8.1,48.04099462365591,1.9411290322580645
GO,2005,9,42.0,931.6884615384616,1495.4417952314166,25.4238603988604,35.6,14.3,55.732193732193736,2.1307692307692307
GO,2005,10,196.4,929.7447076239823,1630.6344086021506,26.628053293856404,37.6,16.2,60.23760177646188,1.8060695780903036
GO,2005,11,551.8,927.897277486911,1049.0503144654087,24.437068062827226,32.7,18.2,77.63664921465968,1.4675392670157068
GO,2005,12,836.8,928.4363391655451,1089.0059931506848,24.373238482384824,45.0,17.5,77.85733512786003,1.5618438761776583
GO,2006,1,322.8,929.7595543551654,1376.0616016427105,24.090209318028357,35.0,16.4,71.51586765698852,1.585955435516543
GO,2006,2,305.6,929.3214937759335,1302.288409703504,23.973609958506223,32.0,17.5,77.1312292358804,1.4454771784232365
GO,2006,3,653.8,929.7202956989248,1045.2242366412213,23.771236559139783,32.6,18.5,79.78360215053763,1.3171370967741935
GO,2006,4,273.2,930.211515601783,1179.64209274673,23.517682020802376,32.0,13.9,75.53863298662705,1.28
GO,2006,5,17.6,933.212479201331,1434.192748091603,21.111647254575708,32.1,8.2,68.51580698835275,1.0638358778625956
GO,2006,6,1.6,934.5498609179416,1362.4763888888888,21.2374826147427,30.6,7.9,64.68150208623088,1.3882475660639777
GO,2006,7,4.2,939.9178818520489,1445.3373101952277,21.92634379989356,35.2,8.0,56.07663650878127,1.8369345396487493
GO,2006,8,31.0,941.5815848716794,1578.952846975089,24.036650157586674,36.4,7.8,50.17607223476298,2.239036470058532
GO,2006,9,148.6,940.7193218764514,1495.692776327241,24.427403622851834,37.4,8.7,56.52810032512773,2.2656758012076175
GO,2006,10,685.8,934.7501815248085,1346.576379066478,24.33089955627269,36.4,16.1,74.0242033077854,1.9875756353368292
GO,2006,11,686.4,928.4485484435116,1418.5607311320755,23.74137810423225,36.2,14.2,73.41587967820917,2.110143406785589
GO,2006,12,1172.2,928.7468107725018,1225.7975848188614,23.63706591070163,32.9,17.6,79.9401133947555,2.041389085754784
GO,2007,1,1428.6,929.3644932432433,1275.2545031958164,23.79422297297297,34.1,17.6,81.15405405405406,1.8516554054054053
GO,2007,2,927.2,933.3093001841621,1366.4276041666667,23.810558624923267,34.5,16.2,80.96587765139871,1.837476979742173
GO,2007,3,389.4,934.5290348742903,1728.5827123695976,24.454825628548253,34.6,14.8,69.87672343876723,1.921086780210868
GO,2007,4,364.2,934.0461798336798,1554.8905146316852,24.18370582120582,35.8,15.2,69.65098752598753,1.7493503118503118
GO,2007,5,166.0,933.2696361105587,1489.0675622283682,21.847345396699147,34.4,6.2,62.69377609862796,2.017339431298469
GO,2007,6,4.8,932.3278031330949,1515.7766990291261,21.393450104847663,33.3,7.5,56.77722955470581,1.9239422721105217
GO,2007,7,102.6,934.5296173578452,1482.0657810156417,22.000106883283454,36.1,4.5,53.332407011543395,2.0373917691074293
GO,2007,8,1.0,936.8957208754539,1700.752008970286,23.177652370203162,38.0,8.3,41.35077043870841,2.548463728281143
GO,2007,9,34.8,935.8127601258756,1752.133672699849,26.260866917064256,40.9,10.6,35.97354766507274,2.6001624200588775
GO,2007,10,1002.6,932.7770126917976,1530.27257326783,26.543805645008526,40.4,13.6,50.96732335669635,2.12126752557787
GO,2007,11,2102.0,931.7714168546238,1419.6347624977761,24.71509433962264,38.1,9.6,70.69952810832991,1.961756257693886
GO,2007,12,3929.8,931.8715354938271,1466.5781769793746,23.902292374189564,36.7,1.6,75.50399441557434,1.845185185185185
GO,2008,1,5477.2,930.5264637702834,1412.888888888889,23.363934793987887,36.1,13.9,79.13981238273921,1.8533687280340985
GO,2008,2,5314.4,930.4088140780412,1393.3672944045522,23.175871272782736,34.8,15.1,81.19342196265274,1.6069396781819567
GO,2008,3,4217.2,930.2932175622542,1414.9065214394043,23.083919285991463,34.0,15.2,80.98018102372035,1.5707101280558788
GO,2008,4,3192.4,930.2914807748754,1396.5726790450929,23.319403401170895,34.8,13.9,78.61220864127345,1.4287426819068858
GO,2008,5,277.6,933.2615608578327,1429.30648619673,21.489338932538605,36.6,-5.7,68.24974341430038,1.4821720067453625
GO,2008,6,13.200000000000001,933.9181226343679,1403.2303779069769,21.27428529541123,33.4,-6.9,62.3347044814895,1.6487796123474516
GO,2008,7,5.6000000000000005,934.1457308584687,1541.6575240919199,20.80096409322098,36.6,5.9,49.248372705331676,1.943469357905514
GO,2008,8,23.400000000000002,930.8395583138552,1664.5479801772037,23.424592615917497,37.3,-8.7,42.58824423998175,2.1268420652421867
GO,2008,9,607.6,930.5333763510245,1663.0738636363637,24.883324169350402,40.4,-8.9,45.919394310186604,2.076808721506442
GO,2008,10,1563.4,930.6233725432892,1583.1497919556173,26.04945982685841,41.4,-8.7,54.75866147210241,2.178059598059598
GO,2008,11,4071.4,929.0881309786607,1362.5022746833886,24.10904370402423,41.3,-6.9,73.01005819383576,1.8486767216846898
GO,2008,12,4750.6,929.5256921824104,1360.8302570093458,23.534800624957544,35.9,1.5,78.54675624321389,1.8662232779097387
GO,2009,1,4173.2,930.8473083654184,1546.7062359128474,23.86390199253679,37.1,-4.7,77.55435771788589,1.725576623744163
GO,2009,2,3392.4,933.7421235425453,1556.6042893822685,24.102914648404877,38.4,-8.8,78.24749855288184,1.5836536868268434
GO,2009,3,3054.2,932.3604458458606,1519.8596229485963,24.29129719626168,38.3,-9.6,76.85392681674855,1.43277354062775
GO,2009,4,2201.6,932.0894925416789,1400.7084808155175,22.973454815916696,33.8,-7.0,77.06171395144779,1.3595568879789413
GO,2009,5,446.6,933.2289010278157,1368.7259608515503,22.186233496513868,34.9,4.2,71.58266867859453,1.4745347416828338
GO,2009,6,300.6,934.1121292172994,1337.9403933434191,20.697494150501925,34.0,2.5,67.61340478526681,1.4526907691146502
GO,2009,7,35.0,933.64002944424,1499.4407603890363,22.223106367316895,36.0,8.3,55.8145012881855,1.5960765550239235
GO,2009,8,391.6,933.0380959377065,1515.1240719588807,23.091295085579958,37.3,7.7,52.02607801366341,1.9518254609564387
GO,2009,9,1480.6,932.6820702267739,1510.294167016366,25.02722750548647,39.6,14.1,61.92589612289685,1.6418580833942942
GO,2009,10,3633.2,930.2223770611412,1389.002087955109,24.209083613016197,38.5,13.8,73.8225594630089,1.4801546767838902
GO,2009,11,3346.0,929.9125676895306,1438.8740419008686,24.619133574007222,36.5,14.2,75.29226835138387,1.4758480631816473
GO,2009,12,5045.4,930.5272826244739,1248.1289100684262,23.423022209319207,34.9,13.8,80.63833647844389,1.6190956597474235
GO,2010,1,3299.6,931.1348994755245,1524.1263250883392,24.227054195804197,36.2,13.2,76.57306235431236,1.5151161943614775
GO,2010,2,2241.0,930.9987916173736,1673.956400310318,24.891515970931216,38.3,14.2,72.99062024674666,1.530009296036508
GO,2010,3,3333.4,930.8856916426513,1528.2999309868876,24.51269635394149,37.1,15.4,77.01988759187203,1.4493083573487033
GO,2010,4,1213.4,932.2694519691603,1578.0942304979546,23.421198860873794,36.8,10.6,68.65089949294992,1.4439674932277557
GO,2010,5,212.4,932.0296401778271,1457.1049103890427,22.21720616838011,37.3,2.6,63.852042233953874,1.3351347596554597
GO,2010,6,72.6,934.3498792889019,1463.0,21.027529446192112,36.0,7.6,57.44743580364328,1.509020411149316
