Estado,Precipitacao Total,Pressao atmosferica media,Radiacao global media,Temperatura media do ar,Temperatura maxima,Temperatura minima,Umidade relativa media,Velocidade media do vento,Data
GO,391.6,933.0380959377064,1515.124071958881,23.09129508557996,37.3,7.7,52.02607801366341,1.9518254609564387,2009-08
GO,1480.6,932.682070226774,1510.294167016366,25.02722750548647,39.6,14.1,61.92589612289685,1.6418580833942942,2009-09
GO,3633.2,930.2223770611412,1389.002087955109,24.2090836130162,38.5,13.8,73.8225594630089,1.4801546767838902,2009-10
GO,3346.0,929.9125676895306,1438.8740419008686,24.619133574007225,36.5,14.2,75.29226835138387,1.4758480631816473,2009-11
GO,5045.4,930.527282624474,1248.1289100684262,23.423022209319207,34.9,13.8,80.63833647844389,1.6190956597474235,2009-12
GO,3299.6,931.1348994755244,1524.1263250883392,24.2270541958042,36.2,13.2,76.57306235431236,1.5151161943614777,2010-01
GO,2241.0,930.9987916173736,1673.956400310318,24.891515970931216,38.3,14.2,72.99062024674666,1.530009296036508,2010-02
GO,3333.4,930.8856916426512,1528.2999309868876,24.51269635394149,37.1,15.4,77.01988759187203,1.4493083573487031,2010-03
GO,1213.4,932.2694519691604,1578.0942304979546,23.4211988608738,36.8,10.6,68.65089949294992,1.4439674932277555,2010-04
GO,212.4,932.0296401778272,1457.1049103890427,22.21720616838011,37.3,2.6,63.852042233953874,1.3351347596554597,2010-05
GO,72.6,934.349879288902,1463.0,21.027529446192112,36.0,7.6,57.44743580364328,1.509020411149316,2010-06
GO,40.0,935.0098314227916,1500.790856313498,21.917815239379635,35.6,7.3,51.874713418745785,2.011382333108564,2010-07
GO,8.8,934.2937936225536,1631.4375782881002,22.68807992336116,39.5,5.6,40.15588859234928,1.909463528123717,2010-08
GO,286.2,931.1547428406548,1658.2917348608837,26.11280386640698,40.4,10.4,37.534309834764414,2.461278222606939,2010-09
GO,2866.2,929.5282302270948,1519.4753305004722,25.375965805272774,39.7,12.8,62.703602192639,1.8121963959258287,2010-10
GO,4695.6,928.1662931777496,1381.790702999771,23.56647881721143,36.6,14.5,76.61035602996752,1.6688987601935954,2010-11
GO,4601.4,926.9630945522052,1396.5055488407868,23.954221880801487,37.7,14.0,78.63939568529544,1.567492478074387,2010-12
GO,3786.2,928.0789124412088,1459.3323479249573,23.57140648154113,36.7,15.3,79.10508343534566,1.6525352747889956,2011-01
GO,3194.8,929.4007636311732,1510.9182316118936,23.73958452312964,36.1,15.1,77.55868075385494,1.419964298464834,2011-02
